target_file,function_name,line_num,# of totfailed_TCs,# of mutants,m1:f2p,m1:p2f,m2:f2p,m2:p2f,m3:f2p,m3:p2f,m4:f2p,m4:p2f,m5:f2p,m5:p2f,|muse(s)|,total_f2p,total_p2f,line_total_f2p,line_total_p2f,muse_1,muse_2,muse_3,muse_4,muse susp. score,met susp. score,bug,rank
parser.c,"xmlAddDefAttrs(xmlParserCtxtPtr ctxt, const xmlChar * fullname, const xmlChar * fullattr, const xmlChar * value)",1114.0,1,5,1,9,1,9,1,9,0,16,1,9,5,75,586665,4,52,0.0021929824561403,2.8409123192185445e-07,0.0087719298245614,1.4772744059936431e-05,0.0087571570805014,0.3162277660168379,0,1
parser.c,xmlDetectSAX2(xmlParserCtxtPtr ctxt),873.0,1,5,1,68,1,68,0,422,1,68,1,68,5,75,586665,4,694,0.0021929824561403,2.8409123192185445e-07,0.0087719298245614,0.0001971593149537,0.0085747705096076,0.1203858530857692,0,2
parser.c,"xmlParseStartTag2(xmlParserCtxtPtr ctxt, const xmlChar ** pref, const xmlChar ** URI, int * nbNsPtr)",9753.0,1,5,0,15,1,5,1,5,1,7,-1,-1,4,75,586665,3,32,0.0026315789473684,3.4090947830622535e-07,0.0078947368421052,1.0909103305799213e-05,0.0078838277387994,0.4082482904638631,0,3
parser.c,"xmlParserNsPush(xmlParserCtxtPtr ctxt, const xmlHashedString * prefix, const xmlHashedString * uri, void * saxData, int defAttr)",1808.0,1,5,0,1,1,1,1,1,-1,-1,-1,-1,3,75,586665,2,3,0.0032894736842105,4.261368478827817e-07,0.006578947368421,1.278410543648345e-06,0.0065776689578774,0.7071067811865475,1,4
parser.c,xmlParseAttributeListDecl(xmlParserCtxtPtr ctxt),6217.0,1,5,0,0,1,5,0,0,1,5,1,7,5,75,586665,3,17,0.0021929824561403,2.8409123192185445e-07,0.006578947368421,4.829550942671526e-06,0.0065741178174783,0.4082482904638631,0,5
parser.c,"xmlCtxtUseOptionsInternal(xmlParserCtxtPtr ctxt, int options)",14642.0,1,5,0,0,0,0,0,0,1,7,1,7,5,75,586665,2,14,0.0021929824561403,2.8409123192185445e-07,0.0043859649122807,3.977277246905963e-06,0.0043819876350337,0.3535533905932737,0,6
parser.c,"xmlParseDefaultDecl(xmlParserCtxtPtr ctxt, xmlChar ** value)",5855.0,1,5,0,0,1,8,0,16,0,6,0,0,5,75,586665,1,30,0.0021929824561403,2.8409123192185445e-07,0.0021929824561403,8.522736957655634e-06,0.0021844597191826,0.3333333333333333,0,7
parser.c,xmlParseElementStart(xmlParserCtxtPtr ctxt),10390.0,1,5,1,101,0,313,0,35,0,313,0,251,5,75,586665,1,1013,0.0021929824561403,2.8409123192185445e-07,0.0021929824561403,0.0002877844179368,0.0019051980382035,0.0990147542976674,0,8
xmlschemas.c,"xmlSchemaCheckDerivationOKRestriction2to4(xmlSchemaParserCtxtPtr pctxt, int action, xmlSchemaBasicItemPtr item, xmlSchemaBasicItemPtr baseItem, xmlSchemaItemListPtr uses, xmlSchemaItemListPtr baseUses, xmlSchemaWildcardPtr wild, xmlSchemaWildcardPtr baseWild)",14076.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
xmlschemas.c,"xmlSchemaCheckElemPropsCorrect(xmlSchemaParserCtxtPtr pctxt, xmlSchemaElementPtr elemDecl)",19526.0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,918
